,ElapsedTime,Swordfish,Bath
0,0.0,26.1,26.1
1,0.0,26.1,26.1
2,0.0,22.8,26.1
3,0.0,22.8,26.1
4,1.0,20.0,26.1
5,2.0,25.0,50.6
6,3.0,26.1,50.6
7,3.0,26.1,50.6
8,3.0,27.2,50.6
9,3.0,27.2,50.6
10,4.0,27.8,50.6
11,5.0,28.9,50.6
12,5.0,28.9,50.6
13,5.0,30.0,50.6
14,5.0,30.0,50.6
15,6.0,30.6,50.6
16,6.0,30.6,50.6
17,6.0,31.7,50.6
18,6.0,31.7,50.6
19,7.0,32.2,50.6
20,9.0,34.4,50.6
21,9.0,34.4,50.6
22,9.0,35.0,50.6
23,9.0,35.0,50.6
24,10.0,35.6,50.6
25,10.0,35.6,50.6
26,10.0,36.1,50.6
27,10.0,36.1,50.6
28,11.0,36.7,50.6
29,11.0,36.7,50.6
30,11.0,37.2,50.6
31,11.0,37.2,50.6
32,12.0,37.8,50.6
33,13.0,38.3,50.6
34,13.0,38.3,50.6
35,13.0,38.9,50.6
36,13.0,38.9,50.6
37,15.0,40.6,50.6
38,15.0,40.6,50.6
39,15.0,41.1,50.6
40,15.0,41.1,50.6
41,16.0,41.1,50.6
42,17.0,41.7,50.6
43,17.0,41.7,50.6
44,17.0,42.2,50.6
45,17.0,42.2,50.6
46,18.0,42.2,50.6
47,18.0,42.2,50.6
48,18.0,42.8,50.6
49,18.0,42.8,50.6
50,19.0,43.3,50.6
51,19.0,43.3,50.6
52,19.0,43.3,50.6
53,19.0,43.3,50.6
54,21.0,44.4,50.6
55,22.0,44.4,50.6
56,22.0,44.4,50.6
57,22.0,45.0,50.6
58,22.0,45.0,50.6
59,23.0,45.0,50.6
60,23.0,45.0,50.6
61,23.0,45.6,50.6
62,23.0,45.6,50.6
63,24.0,45.6,50.6
64,24.0,45.6,50.6
65,24.0,46.1,50.6
66,24.0,46.1,50.6
67,25.0,46.1,50.6
68,26.0,46.1,50.6
69,27.0,46.7,50.6
70,28.0,46.7,50.6
71,28.0,46.7,50.6
72,28.0,47.2,50.6
73,28.0,47.2,50.6
74,29.0,47.2,50.6
75,30.0,47.2,50.6
76,30.0,47.2,50.6
77,30.0,47.2,50.6
78,30.0,47.2,50.6
79,31.0,47.2,50.6
80,31.0,47.2,51.1
81,31.0,47.8,50.6
82,31.0,47.8,51.1
83,32.0,47.8,50.6
84,34.0,47.8,50.6
85,34.0,47.8,50.6
86,34.0,48.3,50.6
87,34.0,48.3,50.6
88,35.0,48.3,50.6
89,35.0,48.3,50.6
90,35.0,48.3,50.6
91,35.0,48.3,50.6
92,36.0,48.3,50.6
93,36.0,48.3,50.6
94,36.0,48.3,50.6
95,36.0,48.3,50.6
96,37.0,48.3,50.6
97,37.0,48.3,50.6
98,37.0,48.9,50.6
99,37.0,48.9,50.6
100,38.0,48.9,50.6
101,40.0,48.9,50.6
102,40.0,48.9,50.6
103,40.0,48.9,50.6
104,40.0,48.9,50.6
105,41.0,48.9,50.6
106,41.0,48.9,50.6
107,41.0,48.9,50.6
108,41.0,48.9,50.6
109,42.0,48.9,50.6
110,43.0,48.9,50.6
111,43.0,48.9,50.6
112,43.0,49.4,50.6
113,43.0,49.4,50.6
114,44.0,49.4,50.6
115,44.0,49.4,50.6
