,ElapsedTime,TBone,Bath
0,0.0,12.8,25.6
1,0.0,12.8,46.7
2,0.0,18.9,25.6
3,0.0,18.9,46.7
4,1.0,21.1,50.0
5,1.0,21.1,50.0
6,1.0,22.8,50.0
7,1.0,22.8,50.0
8,2.0,24.4,50.0
9,2.0,24.4,50.0
10,2.0,25.6,50.0
11,2.0,25.6,50.0
12,4.0,28.3,50.0
13,5.0,29.4,50.6
14,5.0,29.4,50.6
15,5.0,30.6,50.6
16,5.0,30.6,50.6
17,6.0,31.1,50.6
18,6.0,31.1,50.6
19,6.0,32.2,50.6
20,6.0,32.2,50.6
21,7.0,32.8,50.6
22,7.0,32.8,50.6
23,7.0,33.3,50.6
24,7.0,33.3,50.6
25,8.0,33.9,50.0
26,9.0,34.4,50.6
27,10.0,36.1,50.6
28,11.0,36.7,50.6
29,11.0,36.7,51.1
30,11.0,37.2,50.6
31,11.0,37.2,51.1
32,12.0,37.2,51.7
33,13.0,37.8,51.7
34,13.0,37.8,51.7
35,13.0,38.3,51.7
36,13.0,38.3,51.7
37,14.0,38.9,52.2
38,14.0,38.9,52.2
39,14.0,39.4,52.2
40,14.0,39.4,52.2
41,15.0,40.0,52.2
42,17.0,41.1,52.2
43,17.0,41.1,52.2
44,17.0,41.7,52.2
45,17.0,41.7,52.2
46,18.0,42.2,52.2
47,18.0,42.2,52.2
48,18.0,42.2,52.2
49,18.0,42.2,52.2
50,19.0,42.8,51.7
51,19.0,42.8,52.2
52,19.0,42.8,51.7
53,19.0,42.8,52.2
54,20.0,43.3,52.2
55,20.0,43.3,51.7
56,20.0,43.3,52.2
57,20.0,43.3,51.7
58,21.0,43.9,51.7
59,23.0,44.4,51.7
60,23.0,44.4,52.2
61,23.0,45.0,51.7
62,23.0,45.0,52.2
63,24.0,45.0,52.2
64,24.0,45.0,52.2
65,24.0,45.0,52.2
66,24.0,45.0,52.2
67,25.0,45.6,52.2
68,26.0,45.6,52.2
69,26.0,45.6,52.2
70,26.0,46.1,52.2
71,26.0,46.1,52.2
72,27.0,46.1,52.2
73,27.0,46.1,52.2
74,27.0,46.1,52.2
75,27.0,46.1,52.2
76,29.0,46.7,52.2
77,30.0,47.2,52.8
78,30.0,47.2,52.2
79,30.0,47.2,52.8
80,30.0,47.2,52.2
81,31.0,47.2,52.2
82,31.0,47.2,52.2
83,31.0,47.2,52.2
84,31.0,47.2,52.2
85,32.0,47.8,52.2
86,32.0,47.8,52.2
87,32.0,47.8,52.2
88,32.0,47.8,52.2
89,33.0,47.8,52.2
90,34.0,48.3,52.8
91,35.0,48.3,52.2
92,36.0,48.9,52.2
93,36.0,48.9,52.2
94,36.0,48.9,52.2
95,36.0,48.9,52.2
96,37.0,48.9,52.2
97,37.0,48.9,52.2
98,37.0,48.9,52.2
99,37.0,48.9,52.2
100,38.0,48.9,52.2
101,39.0,49.4,52.2
102,39.0,49.4,52.2
103,39.0,49.4,52.2
104,39.0,49.4,52.2
105,40.0,49.4,52.2
106,41.0,49.4,52.2
107,42.0,49.4,52.2
108,43.0,50.0,52.2
109,43.0,50.0,52.2
110,43.0,50.0,52.2
111,43.0,50.0,52.2
112,44.0,50.0,52.2
113,44.0,50.0,52.2
114,44.0,50.0,52.2
115,44.0,50.0,52.2
116,45.0,50.0,52.2
117,45.0,50.0,52.2
118,45.0,50.0,52.2
119,45.0,50.0,52.2
120,46.0,50.0,52.2
121,48.0,50.0,52.2
122,48.0,50.0,52.2
123,48.0,50.0,52.2
124,48.0,50.0,52.2
125,49.0,50.6,52.2
126,49.0,50.6,52.2
127,49.0,50.6,52.2
128,49.0,50.6,52.2
129,50.0,50.6,52.8
130,51.0,50.6,52.2
131,51.0,50.6,52.2
132,51.0,50.6,52.2
133,51.0,50.6,52.2
134,52.0,50.6,52.2
135,52.0,50.6,52.2
136,52.0,50.6,52.2
137,52.0,50.6,52.2
138,54.0,51.1,52.2
139,55.0,51.1,52.2
140,55.0,51.1,52.2
141,55.0,51.1,52.2
142,55.0,51.1,52.2
143,56.0,51.1,52.2
144,56.0,51.1,52.2
145,56.0,51.1,52.2
146,56.0,51.1,52.2
147,57.0,51.1,52.2
148,57.0,51.1,52.2
149,57.0,51.1,52.2
150,57.0,51.1,52.2
151,58.0,51.1,52.2
152,58.0,51.1,52.2
153,58.0,51.1,52.2
154,58.0,51.1,52.2
155,60.0,51.1,52.2
156,61.0,51.1,52.2
157,61.0,51.1,52.2
158,61.0,51.1,52.2
159,61.0,51.1,52.2
160,62.0,51.1,52.2
161,62.0,51.1,52.2
162,62.0,51.1,52.2
163,62.0,51.1,52.2
164,63.0,51.1,52.2
165,64.0,51.1,52.2
166,64.0,51.1,51.7
167,64.0,51.1,52.2
168,64.0,51.1,51.7
169,65.0,51.1,51.7
170,66.0,51.7,52.2
171,67.0,51.7,52.2
172,68.0,51.7,52.2
173,68.0,51.7,52.2
174,68.0,51.7,52.2
175,68.0,51.7,52.2
176,69.0,51.7,52.2
177,69.0,51.7,52.2
178,69.0,51.7,52.2
179,69.0,51.7,52.2
180,70.0,51.7,52.2
181,70.0,51.7,52.2
182,70.0,51.7,52.2
183,70.0,51.7,52.2
184,71.0,51.7,52.2
185,73.0,51.7,52.2
186,73.0,51.7,52.2
187,73.0,51.7,52.2
188,73.0,51.7,52.2
189,74.0,51.7,52.2
190,74.0,51.7,52.2
191,74.0,51.7,52.2
192,74.0,51.7,52.2
193,75.0,51.7,52.2
194,75.0,51.7,52.2
195,75.0,51.7,52.2
196,75.0,51.7,52.2
197,76.0,51.7,52.2
198,77.0,51.7,52.2
199,77.0,51.7,52.2
200,77.0,51.7,52.2
201,77.0,51.7,52.2
202,79.0,51.7,52.2
203,79.0,51.7,52.2
204,79.0,51.7,52.2
205,79.0,51.7,52.2
206,80.0,51.7,52.2
207,81.0,51.7,52.2
208,81.0,51.7,52.2
209,81.0,51.7,52.2
210,81.0,51.7,52.2
211,82.0,51.7,52.2
212,82.0,51.7,52.2
213,82.0,51.7,52.2
214,82.0,51.7,52.2
215,83.0,51.7,52.2
216,83.0,51.7,52.2
217,83.0,51.7,52.2
218,83.0,51.7,52.2
219,85.0,51.7,52.2
220,86.0,51.7,52.2
221,86.0,51.7,52.2
222,86.0,51.7,52.2
223,86.0,51.7,52.2
224,87.0,51.7,52.2
225,87.0,51.7,52.2
226,87.0,51.7,52.2
227,87.0,51.7,52.2
228,88.0,51.7,52.2
229,89.0,51.7,52.2
230,89.0,51.7,52.2
231,89.0,51.7,52.2
232,89.0,51.7,52.2
233,90.0,51.7,52.2
234,91.0,51.7,52.2
235,92.0,51.7,52.2
236,92.0,51.7,52.2
237,92.0,51.7,52.2
238,92.0,51.7,52.2
239,93.0,51.7,52.2
240,94.0,51.7,52.2
241,94.0,51.7,52.2
242,94.0,51.7,52.2
243,94.0,51.7,52.2
244,95.0,51.7,52.2
245,95.0,51.7,52.2
246,95.0,51.7,52.2
247,95.0,51.7,52.2
248,96.0,51.7,52.2
249,98.0,51.7,52.2
250,98.0,51.7,52.2
251,98.0,51.7,52.2
252,98.0,51.7,52.2
253,99.0,51.7,52.2
254,99.0,51.7,52.2
255,99.0,51.7,52.2
256,99.0,51.7,52.2
257,100.0,51.7,52.2
258,100.0,51.7,52.2
259,100.0,51.7,52.2
260,100.0,51.7,52.2
261,101.0,51.7,52.2
262,102.0,51.7,52.2
263,102.0,51.7,52.2
264,102.0,51.7,52.2
265,102.0,51.7,52.2
266,104.0,51.7,52.2
267,104.0,51.7,52.2
268,104.0,51.7,52.2
269,104.0,51.7,52.2
270,105.0,51.7,52.2
271,106.0,51.7,52.2
272,106.0,51.7,52.2
273,106.0,51.7,52.2
274,106.0,51.7,52.2
275,107.0,51.7,52.2
276,107.0,51.7,52.2
277,107.0,52.2,52.2
278,107.0,52.2,52.2
279,108.0,52.2,52.2
280,108.0,52.2,52.2
281,108.0,51.7,52.2
282,108.0,51.7,52.2
283,110.0,51.7,52.2
284,111.0,51.7,52.2
285,111.0,51.7,52.2
286,111.0,51.7,52.2
287,111.0,51.7,52.2
288,112.0,51.7,52.2
289,112.0,51.7,52.2
290,112.0,51.7,52.2
291,112.0,51.7,52.2
292,113.0,52.2,52.2
293,113.0,52.2,52.2
294,113.0,52.2,52.2
295,113.0,52.2,52.2
296,114.0,52.2,52.2
297,115.0,52.2,52.2
298,116.0,51.7,52.2
299,117.0,51.7,52.2
300,117.0,51.7,52.2
301,117.0,51.7,52.2
302,117.0,51.7,52.2
303,118.0,51.7,52.2
304,119.0,51.7,52.2
305,119.0,51.7,52.2
306,119.0,52.2,52.2
307,119.0,52.2,52.2
308,120.0,52.2,52.2
309,120.0,52.2,52.2
310,120.0,52.2,52.2
311,120.0,52.2,52.2
312,121.0,51.7,52.2
313,123.0,51.7,37.2
314,123.0,51.7,26.1
315,123.0,34.4,37.2
316,123.0,34.4,26.1
317,124.0,31.7,24.4
318,124.0,31.7,23.9
319,124.0,30.6,24.4
320,124.0,30.6,23.9
321,125.0,29.4,24.4
322,125.0,29.4,25.0
323,125.0,28.3,24.4
324,125.0,28.3,25.0
